DateTime,Entries,UniqueIPs
1579194910,19,5120
1579203911,19,5120
1579211110,19,5120
1579221010,19,5120
1579283111,19,5120
1579292349,19,5120
1579302058,19,5120
1579355123,20,5120
1579368623,20,5120
1579377690,20,5120
1579383023,20,5120
1579396504,20,5120
1579447994,20,5120
1579455924,20,5120
1579474867,20,5120
1579482943,20,5120
1579527020,20,5120
1579534218,20,5120
1579543280,20,5120
1579550463,20,5120
1579555810,20,5120
1579559413,20,5120
1579564818,20,5120
1579567511,20,5120
1579569310,20,5120
1579572911,20,5120
1579620611,20,5120
1579635910,20,5120
1579653011,20,5120
1579661111,20,5120
1579690811,20,5120
1579692612,20,5120
1579707199,19,5120
1579711512,19,5120
1579723223,20,5120
1579763988,20,5120
1579788911,19,5120
1579800715,20,5120
1579842014,20,5120
1579878911,20,5120
1579885211,20,5120
1579915360,20,5120
1579929104,20,5120
1579967111,20,5120
1579969811,20,5120
1580039110,20,5120
1580067010,20,5120
1580075110,20,5120
1580101210,20,5120
1580135411,20,5120
1580139911,20,5120
1580175903,20,5120
1580188537,20,5120
1580222712,20,5120
1580239814,20,5120
1580257811,20,5120
1580309112,20,5120
1580319012,20,5120
1580324416,20,5120
1580327111,20,5120
1580358611,20,5120
1580401812,20,5120
1580409018,20,5120
1580414418,20,5120
1580420711,20,5120
1580444112,20,5120
1580481912,20,5120
1580488212,20,5120
1580493619,20,5120
1580495412,20,5120
1580538611,20,5120
1580552355,20,5120
1580563811,20,5120
1580578212,20,5120
1580624386,20,5120
1580661002,20,5120
1580666416,20,5120
1580676602,20,5120
1580692749,20,5120
1580733012,20,5120
1580749212,20,5120
1580754611,20,5120
1580769911,20,5120
1580790612,20,5120
1580828412,19,5120
1580838312,19,5120
1580847311,19,5120
1580853023,20,5120
1580871612,20,5120
1580903106,20,5120
1580908503,20,5120
1580910310,20,5120
1580915711,20,5120
1580920213,20,5120
1580931911,20,5120
1580938212,20,5120
1580952611,20,5120
1581093013,20,5120
1581119161,20,5120
1581119291,20,5120
1581139805,20,5120
1581143449,20,5120
1581146577,20,5120
1581150661,19,5120
1581151604,20,5120
1581154268,20,5120
1581157811,20,5120
1581162312,20,5120
1581166812,20,5120
1581175811,20,5120
1581186611,20,5120
1581192012,20,5120
1581205012,20,5120
1581213798,20,5120
1581258961,19,5120
1581269411,19,5120
1581274812,19,5120
1581282012,20,5120
1581293711,20,5120
1581294782,20,5120
1581313512,19,5120
1581350413,20,5120
1581357613,20,5120
1581364991,20,5120
1581372011,19,5120
1581391985,20,5120
1581426010,20,5120
1581428702,20,5120
1581435365,20,5120
1581444010,20,5120
1581449839,20,5120
1581454810,20,5120
1581456761,20,5120
1581471167,20,5120
1581478592,20,5120
1581511510,20,5120
1581516013,20,5120
