DateTime,Entries,UniqueIPs
1577072000,134,134
1577094022,129,129
1577115899,129,129
1577137937,132,132
1577160210,132,132
1577182369,131,131
1577204432,118,118
1577226532,119,119
1577248595,119,119
1577270448,115,115
1577292521,113,113
1577314603,113,113
1577336659,113,113
1577358522,112,112
1577380572,108,108
1577402441,105,105
1577424497,99,99
1577446370,98,98
1577468451,99,99
1577490488,97,97
1577512349,98,98
1577534755,98,98
1577557000,93,93
1577579078,95,95
1577601147,99,99
1577623272,96,96
1577645314,95,95
1577667369,96,96
1577689657,97,97
1577711545,101,101
1577733395,101,101
1577755237,99,99
1577777116,96,96
1577799158,96,96
1577821258,100,100
1577843314,101,101
1577865376,101,101
1577887255,100,100
1577909312,99,99
1577931432,95,95
1577953478,99,99
1577975536,98,98
1577997441,99,99
1578019481,103,103
1578041530,101,101
1578063377,102,102
1578085346,103,103
1578107561,105,105
1578129496,114,114
1578151481,120,120
1578173325,117,117
1578195378,122,122
1578217219,122,122
1578239067,124,124
1578261160,126,126
1578283005,125,125
1578304948,123,123
1578326919,125,125
1578348976,124,124
1578370822,126,126
1578392689,125,125
1578436592,124,124
1578458722,123,123
1578480732,123,123
1578502585,123,123
1578524561,122,122
1578546517,123,123
1578568391,118,118
1578590426,117,117
1578612282,118,118
1578634357,120,120
1578656509,120,120
1578678506,124,124
1578700591,125,125
1578722674,120,120
1578744786,111,111
1578766823,108,108
1578788664,112,112
1578810522,115,115
1578832391,121,121
1578854419,130,130
1578876515,133,133
1578898376,131,131
1578920512,130,130
1578942508,140,140
1578964412,142,142
1578986286,149,149
1579008301,162,162
1579030394,174,174
1579052398,177,177
1579074274,188,188
1579096135,192,192
1579118183,192,192
1579151330,196,196
1579173403,210,210
1579195454,213,213
1579217565,217,217
1579239423,215,215
1579261452,212,212
1579283297,211,211
1579305374,211,211
1579327335,213,213
1579349304,215,215
1579371373,221,221
1579393476,224,224
1579415540,221,221
1579437398,221,221
1579459471,218,218
1579481550,221,221
1579503410,217,217
1579525266,219,219
1579547355,215,215
1579569377,216,216
1579591249,210,210
1579613291,201,201
1579635163,195,195
1579657220,188,188
1579679070,182,182
1579701151,180,180
1579722995,180,180
1579744991,180,180
1579767170,170,170
1579789225,164,164
1579811078,170,170
1579833141,171,171
1579855248,186,186
1579877135,198,198
1579899129,203,203
1579920970,201,201
1579943045,205,205
1579964916,201,201
1579986982,195,195
1580009093,189,189
1580031138,193,193
1580053235,198,198
1580075324,196,196
1580097389,195,195
1580119477,213,213
1580152601,217,217
1580174444,211,211
1580196497,212,212
1580218370,213,213
1580240419,214,214
