DateTime,AddedIPs,RemovedIPs
1581688524,0,1
1581699323,0,1
1581699926,1,0
1581703528,0,1
1581715223,1,0
1581725724,1,0
1581728121,1,0
1581770122,1,0
1581779125,1,0
1581792327,1,0
1581798026,7,0
1581840622,1,0
1581843026,0,1
1581858623,1,0
1581894924,0,1
1581898223,1,0
1581906022,1,0
1581906921,1,0
1581910223,1,0
1581934527,8,0
1581959426,0,1
1581964232,0,1
1581964526,0,1
1581967224,1,0
1581981325,1,0
1581984623,1,0
1582020028,0,1
1582041029,1,0
1582042227,0,1
1582056026,1,0
1582059628,0,1
1582070428,3,1
1582071024,1,0
1582103727,0,1
1582122922,0,1
1582128628,1,0
1582131327,0,1
1582134331,0,113
1582137028,1,0
1582165826,0,1
1582170024,1,0
1582224327,0,1
1582248326,0,1
1582257323,1,0
1582265126,1,0
1582273224,3,0
1582273523,0,1
1582301424,1,0
1582302026,1,0
1582306825,0,1
1582323021,1,0
1582331722,0,1
1582387823,2,0
1582392623,1,0
1582394428,0,1
1582402523,0,1
1582427725,1,0
1582445422,1,0
1582458623,29,0
1582484123,1,0
1582508422,1,0
1582521622,0,2
1582548922,0,1
1582560622,1,0
1582604422,1,0
1582609526,0,1
1582612223,0,1
1582651223,1,0
1582661725,0,1
1582676725,0,1
1582710328,0,1
1582733125,0,2
1582734024,0,1
1582737023,2,0
1582752624,1,0
1582752924,1,0
1582755024,1,0
1582760121,4,0
1582762220,1,0
1582791022,2,0
1582797625,0,1
1582799125,4,0
1582799422,2,0
1582820125,0,1
1582823423,0,1
1582828825,0,1
1582834523,0,1
1582844722,0,1
1582845924,0,1
1582857923,1,0
1582862723,3,0
1582868422,0,1
1582871424,1,0
1582875927,1,0
1582877423,1,0
1582885532,0,1
1582887023,1,0
1582914023,0,1
1582930827,0,1
1582932624,2,0
1583139627,0,1
1583184325,0,1
1583270423,0,1
1583281822,1,0
1583353822,0,7
1583410824,0,3
1583439021,2,0
1583440520,1,0
1583452823,0,1
1583497225,0,1
1583534721,0,1
1583556621,1,0
1583590522,0,1
1583632222,0,1
1583641221,17,0
1583677522,0,1
1583748322,1,0
1583751625,7,0
1583751924,5,0
1583753721,0,1
1583787025,1,0
1583835020,0,1
1583855424,0,1
1583859626,0,1
1583867423,0,1
1583874622,0,1
1583876423,1,0
1584028225,0,1
1584093929,0,1
1584097229,3,0
1584097526,1,0
1584103229,0,1
1584107726,1,0
1584123329,1,0
1584192325,1,0
1584201026,0,1
1584211525,0,3
1584228626,0,1
1584255024,0,1
1584255925,0,1
1584262522,0,1
1584264024,0,1
1584309923,0,2
1584352522,0,1
1584393326,0,1
1584442829,0,1
1584443424,0,256
1584466523,1,0
1584495624,13,0
1584514229,0,1
1584555625,0,1
1584564028,11,0
1584567931,4,0
1584569123,2,0
1584581427,0,1
1584586227,1,0
1584602729,1,0
1584643832,2,0
1584644125,5,0
1584663325,5,0
1584681024,0,2
1584681326,4,0
1584682824,0,3
1584687324,1,0
1584719726,1,0
1584767429,5,0
1584771025,0,1
1584779434,13,0
1584794426,1,0
1584810626,19,0
1584826523,5,0
1584826827,2,0
1584828627,0,1
1584828933,3,0
1584849324,1,0
1584849632,1,0
1584849930,10,0
1584851432,1,0
1584858029,0,1
1584891033,8,0
1584897025,13,0
1584903028,1,0
1584913824,1,0
1584926426,3,0
1584927025,29,0
1584931826,1,0
1584932122,1,0
1584972033,14,0
1584976526,0,1
1584977429,6,0
1584978625,8,0
1584978926,3,0
1584979228,1,0
1584983731,8,0
1584987630,2,0
1584990626,19,0
1584991226,11,0
1585006829,1,0
1585007133,3,0
1585007430,1,0
1585008328,1,0
1585009231,49,0
1585011027,12,0
1585053031,72,0
1585079127,1,0
1585090521,0,1
1585096224,1,0
1585103129,10,0
1585103433,1,0
1585105232,0,1
1585106131,0,1
1585119026,2,0
1585146926,86,0
1585161030,0,1
1585163726,6,0
1585165526,1,0
1585166124,1,0
1585172424,1,0
1585172726,2,0
1585179323,2,0
1585184428,0,1
1585186225,1,0
1585191630,2,0
1585225828,0,1
1585268428,2,0
1585271125,1,0
1585277128,3,0
1585281925,2,0
